town,County,Dean04,Kerry04,Clinton08,Edwards08,Obama08,diebold,lat,long,TotPop,Medianage,PerCapitaInc.,MedianInc.,ClintonCampaignPresence,PopDensity,PcntHS.Grad,PcntColl.Grad,Tot.LaborF,Tot.Unemp
Newton,Rockingham,0.192832765,0.5221843,0.491990847,0.175057208,0.296338673,1,42.87,71.04,4523,35.3,22910,60972,-1,455.4884189,89,21.3,2619,115
NorthHampton,Rocking,0.242568371,0.456599287,0.375874126,0.164335664,0.395104895,-1,42.97,70.83,4553,42.3,34187,66696,-1,201.3710747,90.9,40.3,2808,86
Northfield,Merrimac,0.243670886,0.436708861,0.376086957,0.22173913,0.323913043,-1,43.43,71.59,5185,36,18466,44333,-1,179.4117647,81.6,15.2,2891,97
Northumberland,Coos,0.237536657,0.407624633,0.40704501,0.273972603,0.252446184,-1,44.56,71.56,2402,38.4,15101,31570,-1,65.27173913,73,4,1182,46
Northwood,Rockingham,0.310725552,0.345425868,0.399570354,0.207303974,0.340494092,1,44.03,71.69,4065,36.9,21491,50675,-1,143.639576,90.6,23.9,2293,77
Nottingham,Rockingham,0.257790368,0.398016997,0.378143133,0.188588008,0.347195358,1,43.11,71.1,4447,38.2,24879,62423,-1,97.73626374,86.3,25.3,2708,83
Orange,Grafton,0.492063492,0.317460317,0.307692308,0.205128205,0.448717949,-1,43.65,71.97,312,38.3,17456,41250,-1,13.50649351,77.1,17.4,201,0
Orford,Grafton,0.584033613,0.24789916,0.253776435,0.166163142,0.498489426,-1,43.91,72.14,1068,40.4,24196,46250,-1,23.95693136,91.2,37.7,700,0
Ossipee,Carroll,0.297052154,0.408163265,0.37972973,0.190540541,0.354054054,1,43.76,71.15,4660,41.5,18092,34709,-1,128.8716814,81.9,16.1,2181,91
Pelham,Hillsborough,0.209794838,0.540039709,0.513601299,0.157937475,0.29273244,1,42.73,71.33,12514,36,25158,68608,-1,466.0707635,87.2,24.7,7132,343
Pembroke,Merrimac,0.243542435,0.444649446,0.394908616,0.203655352,0.321801567,1,43.15,71.46,7390,36.7,20800,49494,-1,324.122807,87.1,21.3,4369,141
Peterborough,Hillsborough,0.381830151,0.335088874,0.265473888,0.167794971,0.473887814,1,42.87,71.95,6100,42,26154,47381,1,114.0186916,93.5,41.3,2834,97
Piermont,Grafton,0.573529412,0.227941176,0.364130435,0.141304348,0.440217391,-1,43.97,72.08,689,40.8,22183,38611,-1,17.30286288,89.5,22.8,421,13
Pittsburg,Coos,0.104166667,0.541666667,0.409448819,0.118110236,0.385826772,-1,45.05,71.39,850,46,17703,38516,-1,1.853265017,78.1,10.6,447,18
Pittsfield,Merrimac,0.2147806,0.480369515,0.396501458,0.177842566,0.371720117,1,43.31,71.32,4402,35.1,21082,38833,-1,166.3014734,78.8,13.1,2413,83
Plainfield,Sullivan,0.580286169,0.235294118,0.256274769,0.178335535,0.499339498,-1,43.53,72.36,2466,40,26062,57083,-1,46.19707756,91.1,38.2,1633,0
Plaistow,Rockingham,0.258064516,0.491155047,0.520864382,0.161698957,0.289865872,1,42.84,71.1,7705,37.4,25255,61707,-1,740.1536984,91,24.1,4369,207
Plymouth,Grafton,0.44124424,0.315668203,0.284476534,0.147292419,0.467870036,1,43.76,71.69,6336,22,14766,35618,1,95.32119753,90.3,41,3245,98
Portsmouth,Rockingham,0.313526192,0.392298671,0.352066607,0.159232828,0.417335712,1,43.07,70.76,20618,38.5,27540,45195,1,874.3850721,91.4,41.9,13460,381
Randolph,Coos,0.495575221,0.371681416,0.25,0.166666667,0.475,-1,44.38,71.28,344,45.6,25092,50139,-1,216.3057325,93.3,47.9,175,0
Raymond,Rockingham,0.241502683,0.423076923,0.46909947,0.188346086,0.278399058,1,43.04,71.18,10188,34.4,18430,48829,-1,40.17826534,83.5,13,6062,236
Richmond,Cheshire,0.359223301,0.32038835,0.35106383,0.170212766,0.375886525,-1,42.75,72.27,1172,37.9,21174,49141,-1,169.5225464,87.1,29,666,24
Rindge,Cheshire,0.296747967,0.411924119,0.389570552,0.156441718,0.355828221,1,42.75,72.01,6391,24.5,18495,50494,-1,740.339233,89.5,24.9,2929,144
Rochester,Strafford,0.201703765,0.461665293,0.463196286,0.189986737,0.301392573,1,43.3,70.98,30117,36.7,18859,40596,1,36.73925181,82.8,15.2,16599,549
Rollinsford,Strafford,0.290456432,0.414937759,0.429985856,0.182461103,0.316831683,-1,43.24,70.82,2632,36.9,24444,48588,-1,34.97822932,88.8,26.7,1599,44
Roxbury,Cheshire,0.349206349,0.317460317,0.231578947,0.115789474,0.526315789,-1,42.96,72.21,241,40.6,21124,49375,-1,116.9918699,93.1,29.3,151,0
Rumney,Grafton,0.457983193,0.281512605,0.314641745,0.211838006,0.361370717,-1,43.81,71.81,1439,40.9,17169,38125,-1,37.8401916,82.3,26.1,744,25
Rye,Rockingham,0.299445471,0.403881701,0.322121604,0.137128072,0.461190168,1,43.01,70.77,5214,44.4,36746,63152,-1,2318.181818,94.5,53.3,2743,88
Salem,Rockingham,0.21585069,0.543413579,0.517683147,0.172140022,0.272103934,1,42.79,71.2,29580,38.1,26170,58090,1,48.84881044,87.7,25.4,17550,846
Salisbury,Merrimac,0.229166667,0.458333333,0.355828221,0.17791411,0.358895706,-1,43.38,71.72,1273,40.4,23112,55000,-1,131.5192744,90,24.6,758,20
Sanbornton,Belknap,0.279069767,0.400715564,0.324324324,0.225225225,0.357786358,1,43.49,71.58,2900,40.1,22879,48458,-1,106.9827746,87.5,22.5,1703,58
Sandown,Rockingham,0.27173913,0.440993789,0.455645161,0.183467742,0.302419355,1,42.93,71.19,5776,34.8,25978,67581,-1,92.66759777,91.7,21.6,3163,129
Sandwich,Carroll,0.486486486,0.27027027,0.260869565,0.186956522,0.458695652,-1,43.81,71.44,1327,47.2,23714,47292,-1,90.46758767,94.6,39.7,735,17
Seabrook,Rockingham,0.189690722,0.565979381,0.576478586,0.159755269,0.225016995,1,42.89,70.87,8513,40.3,20992,42874,-1,40.81858407,78.3,14.8,4862,295
Sharon,Hillsborough,0.419354839,0.344086022,0.244444444,0.140740741,0.592592593,-1,42.81,71.92,369,41.3,29478,66250,-1,24.39490446,93.1,45.7,205,0
Shelburne,Coos,0.346666667,0.373333333,0.401869159,0.140186916,0.364485981,-1,44.4,71.08,383,45.2,24899,44375,-1,241.454918,92.3,31,224,0
Somersworth,Strafford,0.191671116,0.537640149,0.476190476,0.187428571,0.292190476,1,43.26,70.87,11783,34.9,19592,42739,-1,92.46073298,84.4,18.8,6429,225
SouthHampton,Rocking,0.28021978,0.417582418,0.5,0.158878505,0.257009346,-1,42.88,70.96,883,40.4,28287,63750,-1,141.375,90.3,29,487,17
Springfield,Sullivan,0.468292683,0.312195122,0.309352518,0.115107914,0.514388489,-1,43.5,72.03,1131,39.8,23263,44659,-1,12.34506693,89,28.3,719,19
Stark,Coos,0.242857143,0.485714286,0.313432836,0.365671642,0.253731343,-1,44.6,71.43,498,40.3,17168,37946,-1,16.98492462,79.9,9.5,226,10
Stewartstown,Coos,0.265625,0.46875,0.525179856,0.079136691,0.345323741,-1,45.01,71.51,990,39.4,17231,30700,-1,85.82089552,68.5,8.4,437,23
Stoddard,Cheshire,0.230392157,0.352941176,0.297385621,0.215686275,0.343137255,-1,43.08,72.16,1014,42.8,19617,37639,-1,18.18001586,87.6,32.9,595,0
Strafford,Strafford,0.284057971,0.398550725,0.371671991,0.220447284,0.314164004,-1,43.27,71.13,4025,37.4,23500,59044,-1,353.3760473,92.8,28.5,2347,64
Stratford,Coos,0.301204819,0.421686747,0.480314961,0.196850394,0.267716535,-1,43.33,71.84,917,40,13784,28594,-1,7.4625,63.9,6.8,443,28
Stratham,Rockingham,0.264035088,0.430701754,0.363734485,0.152185645,0.432811657,1,43.02,70.91,7170,37.9,33270,76726,-1,47.50158128,96.1,49.6,4045,125
SugarHill,Grafton,0.443708609,0.245033113,0.293838863,0.142180095,0.492890995,-1,44.22,71.8,597,46.1,29743,49219,-1,195.0581395,95.8,48.6,354,0
Sullivan,Cheshire,0.345323741,0.294964029,0.362745098,0.205882353,0.348039216,-1,43.01,72.22,751,38.4,21143,51058,-1,39.17824074,79.9,19.7,487,12
Sunapee,Sullivan,0.438741722,0.341059603,0.3039807,0.195416164,0.419782871,1,43.39,72.09,3355,41.7,29184,49353,-1,72.86914766,92.2,37.1,1720,52
Surry,Cheshire,0.267123288,0.342465753,0.306666667,0.208888889,0.4,-1,43.02,72.32,677,43.6,24277,56964,-1,457.5,90.6,30.2,432,0
Sutton,Merrimac,0.369304556,0.35971223,0.281535649,0.15904936,0.457038391,-1,43.33,71.95,1821,43.2,24432,50924,-1,57.44239631,90.8,33.3,1026,25
Swanzey,Cheshire,0.322456814,0.349328215,0.385796545,0.176583493,0.354446577,1,42.87,72.28,7320,38.4,20150,44819,-1,36.75496689,83.8,20.6,4132,120
Tamworth,Carroll,0.230607966,0.444444444,0.286158631,0.188180404,0.418351477,1,43.86,71.26,2493,40.5,17961,35200,-1,63.13546423,78.3,22.3,1345,49
Temple,Hillsborough,0.473354232,0.272727273,0.24556962,0.184810127,0.503797468,-1,42.82,71.85,1554,37,21897,56500,-1,186.199794,93.2,32.9,815,21
Thornton,Grafton,0.299748111,0.340050378,0.388193202,0.161001789,0.361359571,-1,43.89,71.68,2074,38.4,18478,38380,-1,41.08481262,89.4,31.1,1224,35
Tilton,Belknap,0.248062016,0.356589147,0.368283093,0.214941022,0.369593709,1,43.44,71.59,3616,39.6,19578,41977,-1,61.06037544,79.5,17.7,1983,65
Troy,Cheshire,0.25,0.421511628,0.460385439,0.13490364,0.340471092,-1,42.82,72.18,2083,36.3,17323,41875,-1,79.73035797,81.4,15.7,1252,44
Tuftonboro,Carroll,0.281818182,0.418181818,0.319148936,0.15860735,0.456479691,-1,43.65,71.25,2407,47.7,25070,45729,-1,95.87044534,90.4,29.3,1280,39
Unity,Sullivan,0.400900901,0.301801802,0.342948718,0.25,0.342948718,-1,43.29,72.26,1715,42.6,17908,41594,-1,99.38172043,78.6,13.1,763,19
Wakefield,Carroll,0.271028037,0.396261682,0.453183521,0.197253433,0.297128589,1,43.57,71.03,4736,40.1,21507,42500,-1,66.67410714,85.9,17.5,2424,85
Walpole,Cheshire,0.447073474,0.290161893,0.304680038,0.144221585,0.467048711,-1,43.08,72.43,3697,40.6,23295,44673,-1,35.42780749,88.9,31.4,2041,61
Warner,Merrimac,0.418096724,0.358814353,0.304347826,0.227621483,0.387468031,-1,43.28,71.81,2987,39.5,21587,44142,-1,2.835459049,86.1,31.4,1545,50
Warren,Grafton,0.37755102,0.255102041,0.447674419,0.238372093,0.226744186,-1,43.92,71.89,922,37.9,16454,34432,-1,173.8410596,78,14.4,423,20
Washington,Sullivan,0.401234568,0.290123457,0.244239631,0.184331797,0.493087558,-1,43.18,72.1,1060,45,20540,43125,-1,40.5765451,89.3,21.3,479,0
WatervilleValley,Grafton,0.453125,0.390625,0.333333333,0.050505051,0.535353535,-1,43.95,71.5,269,45.3,26400,40417,-1,12.15838509,95.1,51.1,119,0
Weare,Hillsborough,0.301526718,0.396946565,0.395977373,0.160276556,0.364550597,1,43.09,71.73,8925,34.1,22217,59924,-1,31.01359096,88,25.1,5028,156
Webster,Merrimac,0.257763975,0.403726708,0.352826511,0.202729045,0.372319688,-1,43.33,71.72,1858,38.7,20852,54052,-1,70.625,92.6,23.4,1064,33
Wentworth,Grafton,0.434782609,0.380434783,0.403726708,0.192546584,0.329192547,-1,43.87,71.91,783,39.6,18258,44219,-1,51.8735363,82.7,17.9,447,0
Westmoreland,Cheshire,0.428927681,0.261845387,0.248543689,0.221359223,0.413592233,-1,42.96,72.44,1894,43.3,24488,55875,-1,116.9606513,90.5,33.8,1004,28
Whitefield,Coos,0.294520548,0.363013699,0.374396135,0.214975845,0.330917874,-1,44.37,71.61,2034,39.7,17070,34583,-1,80.68720379,80.1,14.9,1031,38
Wilmot,Merrimac,0.418461538,0.323076923,0.221938776,0.160714286,0.528061224,-1,43.45,71.91,1329,41.6,25629,49605,-1,11.41486811,93.5,42.6,711,18
Wilton,Hillsborough,0.328224777,0.332056194,0.292783505,0.18556701,0.397938144,-1,42.84,71.74,3925,37.4,26618,54276,-1,221.9430486,89.5,34,2282,63
Winchester,Cheshire,0.30990991,0.365765766,0.493872549,0.142156863,0.289215686,1,42.77,72.38,4310,37,16012,37364,-1,15.30452889,78,12.9,2298,92
Windham,Rockingham,0.270420792,0.483292079,0.453542639,0.150615189,0.347475605,1,42.8,71.3,12939,37.8,38559,94794,-1, ,96.1,47.8,7234,275
Windsor,Hillsborough,0.404761905,0.142857143,0.276595745,0.319148936,0.319148936, ,43.11,71.02,238,26.3,17966,45750, , ,85.3,9.5,118,0
Wolfeboro,Carroll,0.364683301,0.384836852,0.34674715,0.167672703,0.429242119,1,43.58,71.21,6625,45.3,26361,44012,-1, ,90.7,34.1,3143,97
Woodstock,Grafton,0.294117647,0.401069519,0.391608392,0.136363636,0.402097902,-1,43.98,71.69,1176,37.1,19973,35556,-1, ,86.4,23,724,24
