town,County,Dean04,Kerry04,Clinton08,Edwards08,Obama08,diebold,lat,long,TotPop,Medianage,PerCapitaInc.,MedianInc.,ClintonCampaignPresence,PopDensity,PcntHS.Grad,PcntColl.Grad,Tot.LaborF,Tot.Unemp
Charlestown,Sullivan,0.415422886,0.381840796,0.435176791,0.157751587,0.341795104,-1,43.24,72.43,4954,39.7,18654,38024,-1,117.8962399,81.4,10.8,2566,92
Chatham,Carroll,0.29787234,0.404255319,0.223880597,0.253731343,0.417910448,-1,44.16,71.02,258,40.8,15317,37188,-1,4.51048951,81.6,13.2,126,0
Chester,Rockingham,0.249034749,0.428571429,0.403614458,0.154216867,0.393975904,1,42.96,71.26,4648,35.7,23842,68571,-1,187.6463464,92,31.1,2694,87
Chesterfield,Cheshire,0.409333333,0.289333333,0.327368421,0.2,0.386315789,-1,42.89,72.47,3925,40.4,25051,51351,-1,218.6629526,92.1,32.8,2232,66
Chichester,Merrimac,0.294252874,0.44137931,0.383050847,0.144067797,0.381355932,-1,42.25,71.4,2524,38,24115,56741,-1,113.6936937,90.4,25.2,1470,35
Claremont,Sullivan,0.36079961,0.396392004,0.432957637,0.172172561,0.350174893,1,43.38,72.35,13264,38.8,20267,34949,1,199.9698477,78.7,12.8,6716,212
Clarksville,Coos,0.48,0.28,0.476190476,0.071428571,0.404761905,-1,43.38,72.35,290,44.5,18090,40179,-1,4.654895666,86,13.1,160,0
Colebrook,Coos,0.274774775,0.31981982,0.344311377,0.149700599,0.401197605,-1,44.89,71.49,2395,41.2,18390,32244,-1,11.79338192,74.6,12.5,1263,55
Columbia,Coos,0.387096774,0.338709677,0.432432432,0.171171171,0.351351351,-1,44.85,71.55,814,42,16859,36964,-1,13.27895595,72.8,7.4,408,12
Concord,Merrimac,0.298753666,0.420210166,0.358988506,0.16091954,0.40183908,1,43.21,71.54,42378,37,21976,42447,1,345.8863859,88.6,30.7,22020,683
Conway,Carroll,0.313380282,0.392957746,0.35152342,0.149158709,0.402455662,1,43.99,71.06,9214,39.9,19673,35873,1,113.9218595,87.8,22.5,5348,183
Cornish,Sullivan,0.50257732,0.288659794,0.268468468,0.232432432,0.425225225,-1,43.47,72.35,1779,41.6,23165,53393,-1,45.65050038,88.3,29,1159,29
Croydon,Sullivan,0.470588235,0.352941176,0.326241135,0.127659574,0.489361702,-1,43.45,71.16,709,40.9,21403,49688,-1,18.90666667,86.2,13.2,402,0
Dalton,Coos,0.383838384,0.383838384,0.344632768,0.186440678,0.384180791,-1,44.42,71.7,909,40.6,16234,35625,-1,32.12014134,77.3,12,462,17
Danbury,Merrimac,0.459627329,0.304347826,0.366255144,0.152263374,0.382716049,-1,43.53,71.86,1143,41.1,18339,38312,-1,23.78772112,82.9,17.9,630,24
Danville,Rockingham,0.197478992,0.539915966,0.500646831,0.183699871,0.274256145,1,42.91,71.13,4367,35.4,22152,57287,-1,391.6591928,90.9,19,2502,108
Deerfield,Rockingham,0.306306306,0.387387387,0.351851852,0.171023965,0.38453159,1,43.13,71.24,4148,36.2,24160,61367,-1,83.89967638,91.7,31.7,2276,72
Deering,Hillsborough,0.275261324,0.369337979,0.340136054,0.188208617,0.412698413,-1,43.07,71.85,2046,38.8,20856,48750,-1,65.36741214,85.9,25.5,1040,36
Derry,Rockingham,0.217779056,0.489643268,0.456405354,0.190439771,0.312045889,1,42.88,71.33,34103,33.6,22315,54634,1,903.8695998,90.9,26.3,20275,816
Dorchester,Grafton,0.55,0.225,0.218181818,0.181818182,0.418181818,-1,43.76,71.92,346,39.6,18940,40833,-1,7.671840355,85.5,16.9,172,0
Dover,Strafford,0.256800457,0.455202587,0.39405053,0.163678348,0.376528117,1,43.2,70.87,28422,35.5,23459,43873,1,710.55,88.1,32.4,17271,488
Dublin,Cheshire,0.329177057,0.371571072,0.269230769,0.159919028,0.495951417,-1,42.91,72.06,1553,42.8,27028,52150,-1,56.26811594,91.1,44.6,769,24
Dummer,Coos,0.30952381,0.333333333,0.276923077,0.261538462,0.307692308,-1,44.61,71.2,311,41.8,16755,32750,-1,6.321138211,81,8.5,168,0
Dunbarton,Merrimac,0.324825986,0.343387471,0.372712146,0.151414309,0.389351082,-1,43.1,71.62,2588,37.6,27892,65081,-1,83.40315823,94.4,38,1562,41
Durham,Strafford,0.363913043,0.329130435,0.298629122,0.122638014,0.482400889,1,43.08,70.56,13313,21.2,17210,51697,-1,310.4710821,97.5,73.4,6793,198
EastKingston,Rocking,0.204225352,0.535211268,0.420081967,0.194672131,0.323770492,-1,42.93,71.02,2306,38.2,28844,65197,-1,135.0908026,91.3,32.3,1243,47
Easton,Grafton,0.511627907,0.313953488,0.228571429,0.247619048,0.438095238,-1,44.15,71.79,286,46.9,31841,49167,-1,9.196141479,93.9,48.2,154,0
Eaton,Carroll,0.273684211,0.410526316,0.285714286,0.064285714,0.564285714,-1,43.91,71.05,420,45.3,21122,46429,-1,16.40625,93.5,33.2,213,0
